ID Item;REF;DESCRPCION;Unidad
14330;0014330                                           ;"ADAPT.C90º  1/2""NPTx3/4""JIC";UND 
210;792                                               ;"ADAPT.C90º 2024-12-12S 3/4NPTx1_1/16""JIC";UND 
14570;0014570                                           ;ADAPT.C90º 2024-12-6S 3/4NPTx9/16JIC;UND 
241;21436-003                                         ;"ADAPT.C90º 2024-12-8S 3/4NPTx3/4""JIC";UND 
14519;0014519                                           ;"ADAPT.C90º 2024-1-3S 1/16""NPTx7/16""JIC";UND 
211;21214-009                                         ;"ADAPT.C90º 2024-16-12S 1""NPTx1_1/16""JIC";UND 
212;21823-004                                         ;"ADAPT.C90º 2024-16-16S 1""NPTx1_5/16""JIC";UND 
213;21818-001                                         ;"ADAPT.C90º 2024-2-4S 1/8""NPTx7/16""JIC";UND 
12490;0012490                                           ;"ADAPT.C90º 2024-6-4S 3/8""NPTx7/16""JIC";UND 
12545;0012545                                           ;"ADAPT.C90º 2024-8-12S 1/2""NPTx1_1/16""JIC";UND 
14478;0014478                                           ;"ADAPT.C90º 2024-8-6S 1/2""NPTx9_1/16""JIC";UND 
10381;2071-AEROQUIP                                     ;"ADAPT.C90º 2071-8-8 1/2""JICx1/2""JIC C90º";UND 
10382;GG306-NP08-08                                     ;"ADAPT.C90º GG306-NP 1/2""BSPx1/2""JIC 8-08";UND 
555;18797                                             ;BRAZO INF.MANHOLE 6339ZC BETTS 8020;UND 
1231;17510                                             ;EJE 6688SL BETTS (STEM)-MANHOLE PPVL820-;UND 
9111;GG306-NP08-08.                                    ;"ADAPT.C90º GG306-NP08-08 1/2""NPTx1/2""JIC";UND 
9575;INOX.2024-24-20C 1_1/2NPTx1_5/8JIC M-M            ;ADAPT.C90ºINOX.2024-24-20C 1_1/2NPTx1_5/;UND 
12894;0012894                                           ;ADAPT.COD.2024-20-16 1_1/4 NPTx1_5/16JIC;UND 
238;19712                                             ;"ADAPT.CODO 90° 2071-6-6 HyM 9/16""JIC.";UND 
12405;0012405                                           ;"ADAPT.CODO 90º 13mmx3/8""NPT+O-RING+ARAND";UND 
12212;0012212                                           ;"ADAPT.CODO 90º 13mmx7/16""JIC+O-RING+ARAN";UND 
12466;0012466                                           ;ADAPT.CODO-90º 13mmM-7/16JIC-M+ORING+TCA;UND 
10844;0010844                                           ;ADAPT.CODO-90º 13mmM-9/16JIC-M+ORING+TCA;UND 
12409;0012409                                           ;ADAPT.CODO90º 3/8NPT-Hx13mm-M+O-RING+ARA;UND 
9110;66-106 NP 8-8                                     ;ADAPT.GG106-NP08-08+O-RING 1/2SAEx1/2JIC;UND 
248;21436-005                                         ;"ADAPT.MACHO RECTO 3/4""NPTx1/2""NPT.";UND 
2058;23165                                             ;PERFIL ALUM.LAT.PUERTA EG109 ARA:ROM-109;m   
11748;011748                                            ;"ADAPT.M-M RECTO 1/4""BSPx13mm";UND 
218;19666-017                                         ;ADAPT.R.202702-8-12S+O-R 3/4SAEx1_1/16JI;UND 
207;21818-005                                         ;ADAPT.REC.2021-20-16S 1_1/4NPTx1_5/16JIC;UND 
9572;"INOX.2216-16-16C+O-RING 1""NPT-Hx1_5/16SAE-M       ";ADAPT.REC.INOX.2216-16-16C + O-RING;UND 
11759;0011759                                           ;ADAPT.RECT. 2022-6-4S 3/8NPT-Hx7/16JIC-M;UND 
12554;0012554                                           ;ADAPT.RECT.2021-12-12S 3/4NPTx1_1/16;UND 
12783;0012783                                           ;"ADAPT.RECT.2027-6-6S 9/16""JICMx9/16""JICM";UND 
9591;INOX2021-6-4C 3/8NPTx7/16JIC                      ;ADAPT.RECT.INOX2021-6-4C 3/8NPTx7/16JIC;UND 
14328;0014328                                           ;"ADAPT.RECTO  3/4"" SAE x 3/4"" JIC";UND 
14329;0014329                                           ;"ADAPT.RECTO  7/8"" SAE x 3/4"" JIC";UND 
1549;20551                                             ;KIT REPARACION VC-312S SURE-SEAL V.CHEQU;UND 
11765;0011765                                           ;"ADAPT.RECTO 13mmx7/16""JIC+O-RING+ARANDEL";UND 
257;13693                                             ;"ADAPT.RECTO 13mmx9/16""JIC.";UND 
9164;0009164                                           ;ADAPT.RECTO 2021-12-6S 3/4NPTx9/16JIC;UND 
5530;25815                                             ;"ADAPT.RECTO 2021-12-8S 3/4""NPTx3/4""JIC.";UND 
205;21214-003                                         ;"ADAPT.RECTO 2021-16-12S 1""NPTx1_1/16""JIC";UND 
208;21818-002                                         ;"ADAPT.RECTO 2021-2-4S 1/8""NPTx7/16""JIC";UND 
12379;0012379                                           ;ADAPT.RECTO 2021-6-4S 3/8NPTx7/16JIC;UND 
9163;0009163                                           ;ADAPT.RECTO 2021-6-6S 3/8NPTx9/16JIC;UND 
1246;20838                                             ;EJE-SUSPENSION INTRAAX.AAEDL-30K 77.5.;UND 
245;21436-008                                         ;"ADAPT.RECTO 2021-8-8S 1/2NPTx3/4""JIC";UND 
14400;0014400                                           ;ADAPT.RECTO 3/8 BSPC x 7/16 JIC;UND 
12408;0012408                                           ;ADAPT.RECTO 3/8NPT-Hx13mm-M+O-RING+ARAND;UND 
14517;0014517                                           ;"ADAPT.RECTO PASAMUR-1""NPTx1_1/16""JIC+TCA";UND 
260;21214-004                                         ;"ADAPT.RECTO PASAMURO 1""NPTx1_5/16JIC+TCA";UND 
14571;0014571                                           ;ADAPT.RECTO PASAMURO 9/16JICx9/16JIC+TCA;UND 
5127;FT150-12 DIXON                                    ;"SENSOR OPTICO 12"" 2CABLES FT150-12 DIXON";UND 
9114;203102-8-8                                        ;ADAPT.TE 203102-8-8S 3/4JIC  2My1H;UND 
580;17480                                             ;BUJE COLLARIN LEVA METALICO E-9789 1_5/8;UND 
8977;1001202 ADAICO 60x26Ø                             ;ADAPT.TENSOR INF.MED.LUNA CUAD.1001202AD;UND 
8978;1001207 ADAICO 57x27Ø                             ;ADAPT.TENSOR SUP.MED.LUNA 1001207 ADAICO;UND 
13751;FVZ(DOBLE TROQUE) CHELSEA                         ;ADAPT+TOMA FUERZA+BOMBA C102 PARKER;UND 
2885;9624                                              ;"TAPON HEMBRA AC.INOX.304 1_1/2""NPT.";UND 
13750;FVR(CAMION SENCILLO) CHELSEA                      ;ADAPT+TOMA FUERZA+BOMBA G102 PARKER;UND 
6072;0006072                                           ;"ADAPTADOR 1/2""SAE TAPON";UND 
4409;796                                               ;ADAPTADOR 2024-12-8S.;UND 
5133;4540 DIXON                                        ;"ADAPTADOR ALUM API A 4"" 4540 DIXON";UND 
5121;5204 DIXON                                        ;"ADAPTADOR API 4"" 5204 DIXON -VISOR-";UND 
3306;14820                                             ;TUBO INSERTO CARRILERA 1.905x1.068x228.6;UND 
1909;4778                                              ;MEMBRANA ACOLCHONADA AD-1102500.;UND 
201;1001200 ADAICO-                                   ;ADAPTADOR TENSOR INFERIOR GL-15731;UND 
261;1001205 ADAICO-                                   ;ADAPTADOR TENSOR SUPERIOR GL-15734;UND 
5125;FT555 DIXON                                       ;PROBADOR SIST.SOBRELLENADO FT555 DIXON;UND 
265;2-5802-21LLAAA TRAILER KIT, ABS-T, PWR 25,T1/4AP25;AIR WEIGH 2-5802-21LLAAA TRAILER KIT;UND 
10059;0010059                                           ;AIR WEIGH 6925 SOPORTE KIT, LOADMAXX TRA;UND 
266;131                                               ;"AISLADOR CAUCHO 1""DIx1_1/4""DEx1/4""ESP";UND 
3656;21474-014                                         ;LAMPARA LED-10 10-30V 10256R ROJA TRUCKL;UND 
271;2021 - 334-C                                      ;"AISLADOR CAUCHO 7/8""DIx1_1/16""DEx5.5mm.";UND 
272;134                                               ;"AISLADOR P/TUBO 1""(33mmØ)EL-0400200.";UND 
14409;EL-0400500                                        ;"AISLADOR P/TUBO 1/2""16x28x107 EL-0400500";UND 
567;19914                                             ;BUJE AMORTIGUADOR TR0016-028 W&CH.;UND 
9074;EL-0400100                                        ;"AISLADOR P/TUBO 3/4""(27mmØ)EL-0400100.";UND 
276;1802                                              ;ALARMA DE REVERSA 12V/24V 97DB.;UND 
5406;BACK ALARM CJ                                     ;ALARMA REVERSA CJ INDUSTRY GROUP;UND 
278;10222                                             ;"ALUM.0.040""ESPx103""ANCH.3003-H16.-ROLLO-";kg  
284;14048                                             ;AMORTIGUADOR S-23316 INTRAAX ELEVABLE.;UND 
