ID Item;REF;DESCRPCION;Unidad
14452;0014452                                           ;"MANG.HID.3000PSI 1/4""x3.0m HR-HR AO-12";UND 
11744;AM-65009100                                       ;"MANG.HID.3000PSI 1/4""x3.40m.AM-65";UND 
13414;0013414                                           ;"MANG.HID.3000PSI 1/4""x5.2m.AM-66002700";UND 
3055;13032                                             ;"TORN.HEX.G5.GALV.RF.5/8""x4"".";UND 
11825;0011825                                           ;"MANG.HID.3000PSI 1/4""x5.80m.EG-157";UND 
13486;AM-71005700                                       ;"MANG.HID.3000PSI 1/4""x8,60m.AM-71005700";UND 
14382;G-256002000                                       ;"MANG.HID.3000PSI 1/4Øx1.2m HR-HR-7/16""JI";UND 
14381;G-256001900                                       ;"MANG.HID.3000PSI 1/4Øx3.9m HR-HR-7/16""JI";UND 
13244;AM-70005700 - CENTRAL                             ;MANG.HID.3000PSI 1/4Øx4.3m.HR-HR+2-ADAP;UND 
14380;G-256001700                                       ;"MANG.HID.3000PSI 1/4Øx4.6m HR-HR-7/16""JI";UND 
12787;AM-69006300 - CILINDROS TRASEROS -                ;MANG.HID.3000PSI 1/4Øx5.05m.HR-HR+1-ADAP;UND 
13105;0013105                                           ;MANG.HID.3000PSI 1/4Øx6.10m.HR-HR+1-ADAP;UND 
12406;0012406                                           ;MANG.HID.3000PSI 1/4x3.5m3/8NPT-Mx7/16HR;UND 
12197;0012197                                           ;MANG.HID.3000PSI 1/4x3m.3/8NPT M-M AM-67;UND 
12196;0012196                                           ;MANG.HID.3000PSI 1/4x6.1m3/8NPT M-M AM67;UND 
14458;0014458                                           ;"MANG.HID.3000PSI 3/4""x1.1m HR-HR AO-12";UND 
14476;0014476-AO-11                                     ;"MANG.HID.3000PSI 3/4""x1.4m HR-HR ";UND 
14457;0014457                                           ;"MANG.HID.3000PSI 3/4""x1.7m HR-HR AO-12";UND 
14477;0014477-AO-11                                     ;"MANG.HID.3000PSI 3/4""x2.1m HR-HR ";UND 
14459;0014459                                           ;"MANG.HID.3000PSI 3/4""x2.1m HR-HR AO-12";UND 
14680;0014680                                           ;"MANG.HID.3000PSI 3/8""x0.6mt HR-HR9/16JIC";UND 
14679;0014679                                           ;"MANG.HID.3000PSI 3/8""x0.7mt HR-HR9/16JIC";UND 
14681;0014681                                           ;"MANG.HID.3000PSI 3/8""x0.95mt HR-HR9/16JC";UND 
14475;0014475                                           ;"MANG.HID.3000PSI 3/8""x1.3m HR-HR AO-11";UND 
14456;0014456                                           ;"MANG.HID.3000PSI 3/8""x1.6m HR-HR AO-12";UND 
14455;0014455                                           ;"MANG.HID.3000PSI 3/8""x2.4m HR-HR AO-12";UND 
9251;G-23202200 (AW-04)                                ;"MANG.HID.3000PSI 3/8""x5.0m.G-23202200";UND 
12744;BE-100003700                                      ;"MANG.HID.350PSI.1""x1000mm-HR JIC1_5/16""";UND 
12747;BE-100003900                                      ;"MANG.HID.350PSI.1""x1400mm-HR JIC1_5/16""";UND 
12745;BE-100003800                                      ;"MANG.HID.350PSI.1""x1750mm-HR JIC1_5/16""";UND 
12750;BE-100004100                                      ;"MANG.HID.350PSI.1/4""x600mm-HR JIC 7/16""";UND 
12746;BE-100004000                                      ;"MANG.HID.5100PSI.1""x1020mm-HR JIC1_5/16""";UND 
12719;BE-100002900                                      ;"MANG.HID.5100PSI.1""x1600mm HR JIC1-5/16-";UND 
1768;21800-004                                         ;"MANG.HID.R12 3/4""x0.95m.HR+HR-12JIC";UND 
1809;23199                                             ;"MANG.HID.R2.1""x1.22Mts.HR-HR.XV.";UND 
14514;0014514                                           ;"MANG.HID.RETORN Ø-3/4""x1.0mt HR-HR";UND 
14460;0014460                                           ;"MANG.HID.SUCCION 1""x1.2m HR-HR AO-12";UND 
1811;15984                                             ;MANG.INT.37000 AUTOINFLADO RECTA.;UND 
4765;A37700A17 - 37600 PRESSURE GUARD.                 ;MANG.INT.37700 INFLADO-DESINFLADO -RECTA;UND 
13824;TR52210                                           ;MANG.INT.P/LLANTAS TR52210;UND 
3880;2016                                              ;"MANG.NYLON 1/2""OD NY1/2-100";m   
1689;1011                                              ;"MANG.NYLON 3/8""OD NY3/8-100";m   
1827;1090                                              ;"MANG.PLASTICA TRANSP.1/2""D.I.";m   
1829;8612                                              ;"MANG.PLASTICA TRANSP.2""D.I.";m   
2134;3503                                              ;PERNO BOCIN 22mm P-1.5x102mm(110LT)39EST;UND 
5684;0005684                                           ;"MANG.PLASTICA TRASP.3/8""D.I.";m   
5647;AE-4104200                                        ;"MANG.R7 1/8""Øx1.10m MR-1/8NPT+HR-7/16JIC";UND 
1838;13938                                             ;"MANG.RADIADOR LISA 3_1/2""Ø.";m   
5563;05563                                             ;MANG.TRAILER-ESPIRALADA-;UND 
1850;2230                                              ;MANG.TRAILER-SERVICIO Y EMERGENCIA-.;UND 
7444;88175K32 BRANDES                                  ;MANGUERA PROCTECCION TUBING 88175K32 BRA;m   
1852;2446                                              ;"MANHOLE 20"" 3920 T/ALUM+C/AC.SBR SOLIMA";UND 
1855;24991                                             ;"MANHOLE 20"" 8555ACF-6 T+C:ALUM. BETTS.";UND 
10907;0010907                                           ;"MANHOLE 20"" 8555CBF-6 T+C:AC.INOX BETTS.";UND 
1497;16221                                             ;HUCK BOLT C6LB-R8-6G BRAZIER STEEL HEAD.;UND 
1856;24774                                             ;"MANHOLE 20"" 8555SBF-6 T/ALUM C/AC.BETTS.";UND 
1858;24094-CC                                          ;"MANHOLE 20"" AUTOMATICO PIVOTAL EDGE.";UND 
1865;5690                                              ;"MANHOLE 20"" INOX.FVA9720CXV +COLLAR3176S";UND 
1866;10575                                             ;"MANHOLE 20"" INOX.PPVL720CXV+COLLAR3176SL";UND 
1867;19040                                             ;"MANHOLE 20"" PPVL720BXV+COLLAR3176MS BETT";UND 
1869;13731                                             ;MANIFOLD 20930C BETTS (3VALV+1MASTER).;UND 
7150;1602020 ADAICO                                    ;MANIJA -ASA- 1602020;UND 
1872;14805                                             ;"MANIJA CANDADO CON EJE 1.5"" HACKNEY.";UND 
1874;10016                                             ;MANIJA MECANISMO CIERRE PUERTA AP-10.;UND 
13014;EG-163002300                                      ;MANIJA PLASTICA GRIS+REATA -TUBO 42.2mmØ;UND 
13907;EG-14300003                                       ;MANIJA PLASTICA GRIS+REATA -TUBO 42.2mmØ;UND 
2966;6087                                              ;"TORN.AUTOPERF.AVELL.TORX.#14x2 3/4""SCT.";UND 
10998;EG-15205200                                       ;MANIJA PLASTICA GRIS+REATA -TUBO 42.2mmØ;UND 
1879;12379                                             ;"MANIJA Y PLATINA CROMADA VALV.4""-6""SURE.";UND 
1881;19274                                             ;"MANILA DE NYLON 1/4""Ø.";m   
4439;9000                                              ;"TORN.HEX.G8.RO.1_1/8""x10"".";UND 
8610;0008610                                           ;"MANOMETR 0-3000PSI 2.5"" 1/4""NPT-VERT.GLI";UND 
14512;0014512                                           ;"MANOMETR 0-3000PSI- Ø2-1/2-GLI- 3/4""NPT";UND 
1885;9269                                              ;"MANOMETRO 0-150PSI 1_1/2""CT-1/8""NPT.";UND 
1887;13728                                             ;MANOMETRO 0-160PSI PG-16349MS-BETTS-.;UND 
1889;"2493 -CV=CONEXION VERTICAL 1/2""NPT                ";"MANOMETRO 0-30PSI 4""Ø CV-1/2""NPT+GLICERI";UND 
1891;"24775 -CV=CONEXION VERTICAL 1/2""NPT               ";"MANOMETRO 0-60PSI 4""Ø CV-1/2""NPT+GLICERI";UND 
5641;779R / 211S / 219SM AXALTA                        ;MASILLA 779R CROMAX (UNDx2Kg=1/2GAL);GAL 
1255;24797-021                                         ;"EMPAQUE ACOPLE BTC-GG-GSKT-4"" BTI.";UND 
1898;14803                                             ;MECANISMO CERRADURA HACKNEY.;UND 
1899;1095                                              ;MEDIACHUMACERA EJE CENTRAL EK-1100600.;UND 
1903;13051                                             ;MEDIACHUMACERA RESORTE EK-6300100.;UND 
1906;13057                                             ;MEDIACHUMACERA.SUP.TRUNNION EK-6300300.;UND 
11179;0011179                                           ;"MINI-LUBRICADOR 3/8""NPT CL-03 XHNOTION";UND 
1913;19862                                             ;MINI-MESS-PURGADOR 06012700 ADAICO.;UND 
1914;9493 R07-200-RNKA NORGREN                         ;"MINI-REGULADOR 3/8""NPT BR3000 XHNOTION";UND 
1915;11741                                             ;"MINI-VALV.BOLA 3/8""NPT HyM BR-CR BV-01";UND 
12805;0012805                                           ;MÓDULO ALARMA + PILOTO PELDAÑO EG-161;UND 
9602;RM-70/2-EJES ENTORNO INDUSTRIAL                   ;MODULO BLOQUEO 2-EJE RM-70/2 ENTORNO IND;KIT 
1917;FT-208 DIXON - 890-400-02 EBW  2-CABLES           ;MODULO CONTROL FT-208 DIXON/89040002 EBW;UND 
12586;SN-M718 SOLO, SIN CAMARA-SIN ANTENA               ;"MONITOR INALAMBRICO LCD 7"" SN-M718(SOLO)";UND 
11194;0011194                                           ;MOTOR REDUCTOR NEUMATICO AMP6-LG1/20;UND 
1922;15339 ADA-SLIDER 0902060 ADAICO                   ;MUELLE OUTFOULDING -RESORTE PLANO- SLIDE;UND 
9375;1403-7008 BU                                      ;"NAVE PUERTA 3/4""x48.5""x110"" 1403-7008 BU";UND 
1939;13940                                             ;"NIPLE AC.INOX.304 SCH40 1/2""NPTx4""LONG.";UND 
1959;21624                                             ;"NIPLE AC.SCH40 2""NPTx4""LONG.";UND 
1961;21787                                             ;"NIPLE AC.SCH40 3""NPTx3""LONG.";UND 
1963;22480                                             ;"NIPLE AC.SCH40 4""NPTx80mm LONG.";UND 
69;608 - EE-0100400                                  ;"NIPLE HEX.GALV.3/4""NPT SNCM-3/4 XHNOTION";UND 
11177;0011177                                           ;"NIPLE HEX.GALV.3/8""NPT SNCM-3/8 XHNOTION";UND 
12543;311210577                                         ;NIPLE.AC.GALV.SCH40 3/4NPT x 40mm;UND 
1978;16846-002                                         ;O-RING 0013 BUNA /MANG.SIST.AUTO-INFLADO;UND 
1979;16846-001                                         ;O-RING 008 BUNA /MANG.SIST.AUTO-INFLADO.;UND 
10910;19935TS -EV46922ALTS- BETTS                       ;"O-RING 4"" ASIENTO 19935TS BETTS";UND 
10909;18134BN -EV46922ALTS-BETT                         ;"O-RING 4"" CILINDRO AIRE 18134BN BETTS";UND 
1982;20030                                             ;O-RING API H20058M-HEIL H20658M-CIVACON.;UND 
1983;20374                                             ;O-RING ASIENTO 18872TS BETTS -VALV.FONDO;UND 
10885;010885                                            ;O-RING BUNA 14mmD.INT.x2mmESP.;UND 
10758;0010758                                           ;O-RING BUNA 70mmØEXTx60mmØINTx5mm ESP.;UND 
1989;17513                                             ;O-RING EJE #112 4118VT VITON-BROWN BETTS;UND 
6813;17946TS.                                          ;O-RING EJE LEVA TEF-SIL 17946TS BETTS;UND 
2008;19964                                             ;O-RING TEF-O-SIL 7342 CIVACON(VALV.5x4).;UND 
2010;19107                                             ;PALANCA ACCIONAMIENTO 10022 KINEDYNE.;UND 
2011;5914                                              ;PALANCA CIERRE PARAL MOVIL EN-1400403.;UND 
8845;413435 CRAMARO                                    ;"PASADOR 5/16""x2_1/2"" ZINC.413435 CRAMARO";UND 
2021;10041                                             ;"PASADOR ELASTICO GALV.1/4""x1_1/4"".";UND 
14030;0014030                                           ;"PASADOR ELASTICO GALV.1/8""x1"".";UND 
11750;0011750                                           ;"PASADOR ELASTICO GALV.1/8""x1_1/2"".";UND 
14281;0014281                                           ;PASADOR ELASTICO GALV.5x25mm.LONG.;UND 
2033;23618-004                                         ;PASADOR RESORTE D12-0101.;UND 
2034;FW68-10                                           ;PASADOR TENSOR+BUJES FW68-10 FUWA (KIT).;UND 
5902;7895                                              ;PASADOR ZAPATA DE FRENO-COLLARIN EJE;UND 
2035;25410                                             ;"PASARELA ALUM.9_1/2""x2""x12' B-380261 BTI";m   
4772;"25684-001 - 1_1/2""x1_1/4""x60""(1524mm)             ";"PELDAÑO AC.GALV.M6LRST2460x60"" McNICHOLS";m   
4773;"25684-003 - 1_1/8""x1_5/8""x48,75""(1238,25mm)       ";"PELDAÑO AC.INOX.304 M8LR034899x48.75"" Mc";m   
4774;"25684-002 - 1_1/8""x1_5/8""x60""(1524mm)             ";"PELDAÑO ALUMINIO M5LRST3460x60"" McNICHOL";m   
2040;19503-001                                         ;"PERCHA D-21082-1 IZQ.AAT-30K-16""HENDRICK";UND 
2041;19503-002                                         ;"PERCHA D-21082-2 DER.AAT-30K-16""HENDRICK";UND 
2133;1157-005/ROM010                                   ;PERFIL ALUM. 45x45x3.3mm 1157-005/ROM010;m   
13984;1153-031                                          ;PERFIL ALUM. ANGULO CABALLETE 1153-031;m   
14804;1000-914                                          ;PERFIL ALUM. CORTIN. HORIZ.INF. 1000-914;m   
15008;-1157-016                                         ;PERFIL ALUM. CORTIN. HORIZ.SUP. 1157-016;m   
7568;23238-ROM-027                                     ;PERFIL ALUM. ESQUIN. BICICLETERO ROM-027;m   
14617;1157-014                                          ;PERFIL ALUM. FRONTAL 1157-014 (m)CBCLA;m   
7567;23239-V2-ROM-028                                  ;PERFIL ALUM. HORIZ. BICICLETERO ROM-028;m   
13985;1153-032                                          ;PERFIL ALUM. TUBERIA AGARRADERA 1153-032;m   
2046;23303                                             ;PERFIL ALUM.07-304664.JACK OLSTA.;UND 
12618;0012618                                           ;PERFIL ALUM.1000-269;m   
12617;1000-884                                          ;PERFIL ALUM.1000-884-REFZO PERFIL TECHO-;m   
4527;AD-4900004 - 1000-058 AAG - 25188                 ;"PERFIL ALUM.4.5""ØEXTx6mmESP.1000-058 AAG";m   
6430;T-129 ALUMINA                                     ;PERFIL ALUM.6005-T6 101x25.4mm ALU:T-129;m   
7830;1157-002/ROM-1000-557                             ;PERFIL ALUM.76x45x4.3mm 1157-002/ROM-557;m   
2070;1157-003/ROM-009 ALUMINA                          ;PERFIL ALUM.AMARRE T-P 1157-003/ROM-009;m   
10478;ROM-572 ALUMINA / 1000-572 ROMARCO                ;PERFIL ALUM.ANG.CAB.SL. 1157-009/ROM-572;m   
4520;AD-4900002 - 1000-056 AAG - 25186                 ;PERFIL ALUM.ANGULO 340x76x9 1000-056 AAG;m   
4514;AD-4900003                                        ;PERFIL ALUM.ANGULO 76x130x9 1000-057 AAG;m   
6288;25180                                             ;PERFIL ALUM.ANGULO APOYO CHA.AB-19300004;m   
4264;AB-19300001 - 25176                               ;PERFIL ALUM.ANGULO PRINCIPAL AB-19300001;m   
4535;25183                                             ;PERFIL ALUM.CAJA MANHOLE AB-19300007;m   
4538;25185                                             ;PERFIL ALUM.CANAL 270x76x19x9 AD-4900001;m   
12760;ROM-033 ALUM./1153-016 ROMARCO                    ;PERFIL ALUM.CANAL AGARRAD.DIV.ROM-033ALU;m   
4521;25181                                             ;PERFIL ALUM.CANAL AMARRE INT.AB-19300005;m   
4476;25179                                             ;PERFIL ALUM.CANAL ARO RIGIDI.AB-19300003;m   
12613;1153-012                                          ;PERFIL ALUM.CANAL BASE CABALLET.1153-012;m   
7829;1000-224 / ROM-029 ALUMINA                        ;PERFIL ALUM.CANAL CABALL.1000-224/ROM029;m   
898;13432 - ALUM.ROM-020/ARA:ROM006.                  ;PERFIL ALUM.CANAL CABALLETE ALUM.ROM-020;m   
12610;1153-009                                          ;PERFIL ALUM.CANAL CENT.PANEL TRA1153-009;m   
12616;1153-015                                          ;PERFIL ALUM.CANAL INF.PANEL DEL.1153-015;m   
12615;1153-014                                          ;PERFIL ALUM.CANAL INF.PANEL TRA.1153-014;m   
6398;ROM-023 PL:22857 /1000-138 AAG/1000-407 ALÉ       ;PERFIL ALUM.CANAL LATER. ROM023 ALUMINA;m   
8108;ROM-032 ALUMINA                                   ;PERFIL ALUM.CANAL SOPORT WINCHE ROM-032;m   
12614;1153-013                                          ;PERFIL ALUM.CANAL SOPORT.DIV.TRA1153-013;m   
12764;ROM-039 ALUM/1153-020 ROMARCO                     ;PERFIL ALUM.CANAL SUP.CABALL.ROM-039 ALU;m   
12761;ROM-034/1153-017 ROMARCO                          ;PERFIL ALUM.CANAL SUP.PANEL ROM-034 ALUM;m   
10477;ROM-569 ALUMINA / 1000-911 ROMARCO                ;PERFIL ALUM.CANAL TRAV.PISO 1000-911 AL;m   
12762;ROM-035 ALUM/1153-018 ROMARCO                     ;PERFIL ALUM.CANAL VERT.PANEL ROM-035 ALU;m   
12763;ROM-036 ALUM/1153-019                             ;PERFIL ALUM.CANAL VERT.PANEL ROM-036 ALU;m   
12602;1153-001                                          ;PERFIL ALUM.CENTRAL 1153-001;m   
2073;18680                                             ;PERFIL ALUM.COMPL.PARAL TRASERO ROM-055.;m   
7539;1000-210                                          ;PERFIL ALUM.CONTENC.ESTIBAS AAG:1000-210;m   
2076;1000-150/ ROM-022                                 ;PERFIL ALUM.CORTINERO 1000-150/ ROM-022;m   
9909;ROM-1000-242 ALÉ (34mmØ)                          ;PERFIL ALUM.DELANTERO LONA 1000-242 AAG;m   
17;25184                                             ;PERFIL ALUM.DUCTO CAJA MH AB-19300008;m   
10862;IMC024 ALUMINA                                    ;PERFIL ALUM.ESQUINERO IMC024 ALUMINA;m   
7540;1000-134                                          ;PERFIL ALUM.FRONTAL TECHO  AAG:1000-134;m   
2055;16205- 1402434 ADAICO - 1000-444 ALÉ -1000-389 AAG;PERFIL ALUM.HORIZ.1000-389 AAG (m)CBCLA;m   
13945;1000-888                                          ;PERFIL ALUM.INF.CAB.SLIDER 1000-888 ALUM;m   
10658;ROM-571 ALUMINA / 1000-571 ROMARCO                ;PERFIL ALUM.INF.CAB.SLIDER ROM-571 ALUMI;m   
7148;ROM-026 ALUMINA                                   ;PERFIL ALUM.INFERIOR TAP.1157-008/ROM026;m   
6399;ROM-024 PL:22858                                  ;PERFIL ALUM.I-TRAV.PISO 1000-137/ROM-024;m   
7147;ROM-025 ALUMINA                                   ;PERFIL ALUM.LAT.PISO 1157-007/ ROM025;m   
2084;15419                                             ;PERFIL ALUM.LAT.PISO ROM-030/AL:ROM-002;m   
13017;1000-794 AAG                                      ;PERFIL ALUM.LATER+RIEL MAL.TECH.1000-794;m   
12604;1153-003                                          ;PERFIL ALUM.LATERAL 1153-003;m   
12607;1153-006                                          ;PERFIL ALUM.LATERAL INFERIOR 1. 1153-006;m   
12608;1153-007                                          ;PERFIL ALUM.LATERAL INFERIOR 2. 1153-007;m   
2086;1157-006/ROM004 ALUMINA                           ;PERFIL ALUM.LATERAL TEC. 1157-006/ROM004;m   
7541;1000-467 AAG                                      ;PERFIL ALUM.LATERAL TECHO 1000-467 AAG;m   
12606;1153-005                                          ;PERFIL ALUM.LATERAL TECHO 1153-005;m   
6475;1000-146                                          ;PERFIL ALUM.LATERAL XP AAG:1000-146;m   
7538;1000-209                                          ;PERFIL ALUM.LATERAL XPK AAG:1000-209;m   
2087;1157-004/ROM-003                                  ;PERFIL ALUM.MARCO PANEL 1157-004/ROM-003;m   
2059;15412                                             ;PERFIL ALUM.MARCO PANEL ROM-023.;m   
10957;010597                                            ;PERFIL ALUM.PARAL CARROCERIA 1000-590;m   
4537;25182                                             ;PERFIL ALUM.PASARELA AB-19300006;m   
2091;16032 - ROMARCO:ROM-038                           ;PERFIL ALUM.PISO ROM008-ALUMINA;m   
2090;1153-030                                          ;PERFIL ALUM.PISO ROM019-ALUMINA 1153-030;m   
2061;16013 - ROM:043 -                                 ;PERFIL ALUM.PLAT.PRESILL.1000-924/ROM014;m   
10864;IMC012 ALUMINA                                    ;PERFIL ALUM.POSTE LATERAL IMC012 ALUMINA;m   
10702;ROM-552 ALUMINA / 1000-552 ROMARCO                ;PERFIL ALUM.PROTEC.CORT.1000-993/ROM552 ;m   
4517;25189                                             ;PERFIL ALUM.RECTANG.127x102x9 AD-4900005;m   
1047;13941                                             ;"CODO 90° AC.INOX.304 1/2""NPT.";UND 
12765;ROM-037 ALUM/1153-022 ROMARCO                     ;PERFIL ALUM.REFUER.CENTR.DIV.ROM-037 ALU;m   
1202;23796                                             ;"CUÑA EN EMPACK PARA TUBO DE 1_1/2"".ENCAR";UND 
12766;ROM-038 ALUM/1153-023 ROMARCO                     ;PERFIL ALUM.REFUERZO PANEL ROM-038 ALUM;m   
10868;TRAN2198 ALUMINA                                  ;PERFIL ALUM.REFUERZO PARAL BOT.TRAN2198;m   
10995;0010995                                           ;PERFIL ALUM.REFUERZO PARAL CARR.1000-591;m   
10865;IMC019 ALUMINA                                    ;PERFIL ALUM.RIEL INTER.TECHO IMC019 ALUM;m   
2097;ROM-018 ALUMINA                                   ;PERFIL ALUM.RIEL MALLA ROM-018 ALUMINA;m   
10011;ROM-1000-480 ALÉ                                  ;PERFIL ALUM.RIEL MALLAS ROM-1000-480 ALÉ;m   
10867;IMCA011 ALUMINA                                   ;PERFIL ALUM.SOLERA INFERIOR IMCA011 ALUM;m   
10866;IMC011 ALUMINA                                    ;PERFIL ALUM.SOLERA SUPERIOR IMC011 ALUMI;m   
9973;1150-004 ALÉ                                      ;PERFIL ALUM.SOPORTE CARPADO 1150-004 ALÉ;m   
8106;ROM-031 ALUMINA                                   ;PERFIL ALUM.SOPORTE RIEL ROM-031 ALUMINA;m   
4530;8610                                              ;LAMINA AC.ANTIDESGASTE-450 19mm.(XAR-HAR;KG  
10659;ROM-573 ALUMINA / 1000-573 ROMARCO                ;PERFIL ALUM.SUP.CAB.SLIDER ROM-573 ALUMI;m   
2065;ROM-1000-555 ALUMINA                              ;PERFIL ALUM.SUP.CABALLE 1000-922/ROM555 ;m   
12605;1153-004                                          ;PERFIL ALUM.SUPERIOR 1153-004;m   
12603;1153-002                                          ;PERFIL ALUM.SUPERIOR 4 CARRILES 1153-002;m   
9972;1150-003 ALÉ                                      ;PERFIL ALUM.SUPERIOR CAJA 1150-003 ALÉ;m   
10863;IMC016 ALUMINA                                    ;PERFIL ALUM.SUPERIOR IMC016 ALUMINA;m   
3717;20260/20265                                       ;"LAMPARA LED 3/4"" 33051 R/Y  TRUCK LITE.";UND 
6477;1000-149                                          ;PERFIL ALUM.TABLIL.COMODIN PISO 1000-149;m   
6476;1000-148                                          ;PERFIL ALUM.TABLILL PISO-XP 1000-148 AAG;m   
12611;1153-010                                          ;PERFIL ALUM.TABLILLA PISO CENT. 1153-010;m   
12612;1153-011                                          ;PERFIL ALUM.TABLILLA PISO COMPL.1153-011;m   
405;3880                                              ;PERFIL ALUM.TENSOR LONA 35Øx3m 1402530 A;UND 
9907;ROM-1000-240 ALÉ (CUADRADO)                       ;PERFIL ALUM.TENSOR LONA TRAS.1000-240AAG;m   
2098;1157-001/ROM-001 ALUMINA                          ;PERFIL ALUM.TRANS.PANEL 1157-001/ROM-001;m   
9908;ROM1000-241 ALÉ (CLIP)                            ;PERFIL ALUM.TRAS.SUJETA LONA 1000-241AAG;m   
2100;1000-408 / ROM-007 ALUMINA                        ;PERFIL ALUM.TRAV.TECHO ROM-007/1000-408;m   
6478;1000-169                                          ;PERFIL ALUM.TRAVESAÑO I PISO XP 1000-169;m   
2081;16030 - ROMARCO:ROM-036                           ;PERFIL ALUM.TUBU.BUMPER 1157-010/ROM011;m   
2020;8972                                              ;"PASADOR ELASTICO GALV.1/4""x1_1/2"".";UND 
4526;AB-19300002 - 25178                               ;PERFIL ALUM.TUBULAR BRAZOS AB-19300002;m   
12609;1153-008                                          ;PERFIL ALUM.TUBULAR DIVISION 1153-008;m   
14618;1157-013                                          ;PERFIL ALUM.VERT.DEL.1157-013 (m)CBCLA;m   
14620;1157-012                                          ;PERFIL ALUM.VERT.TRAS.1157-012 (m)CBCLA;m   
2067;AAG:1000-660 - ADAICO:1402428x4.2m - 16207        ;PERFIL ALUM.VERTICAL 1000-660 (m)CBCLA;m   
10869;IMC020 ALUMINA                                    ;PERFIL ALUM.VIGUETA TECHO LONGI.IMC020 A;m   
7506;1702010-ADAICO                                    ;PERFIL ANTIEMPOTRAMIENTO ALUM.1702010 AD;UND 
6466;2301128 ADAICO                                    ;PERFIL COMBI AC.CINCADO 305 2301128 ADAI;m   
5469;AM-4400406-(MP-CR)                                ;PERFIL CORTINERO IZQ Y DER AM-44-(MP-CR);UND 
14954;1157-015-A                                        ;PERFIL CURVO INTERIOR ALUM.1157-015-A;UND 
2080;15355                                             ;PERFIL GOMA PUERTAS 1404200x8m ADAICO;m   
4630;17604 -1404202                                    ;PERFIL GOMA PUERTAS Rx10m 1404202 ADAICO;m   
4636;15356                                             ;PERFIL PROTEC.LAT.1703064 ADAICO(3m);m   
4634;16208-1703057 ADAICO(m)                           ;PERFIL PROTECCION LATERAL 1703064 (5m);m   
6236;1404202 ROLLOx10m ADAICO.                         ;PERFIL PVC VERTICAL 1404202 Rx9.375m C/U;m   
72;21930                                             ;PERFIL TUBULAR AC.A-572 100x100x3mm.;m   
2102;21893                                             ;PERFIL TUBULAR AC.A-572 100x100x4mm.;m   
8677;0008677                                           ;PERFIL TUBULAR AC.A-572 100x100x6mm.;m   
13453;0013453                                           ;PERFIL TUBULAR AC.A-572 100x50x3mm.;m   
2117;21929                                             ;PERFIL TUBULAR AC.A-572 100x50x4mm.;m   
10999;0010999                                           ;PERFIL TUBULAR AC.A-572 100x50x5mm.;m   
71;364                                               ;PERFIL TUBULAR AC.A-572 120x60x3mm.;m   
11000;0011000                                           ;PERFIL TUBULAR AC.A-572 120x60x4mm.;m   
2121;21894                                             ;PERFIL TUBULAR AC.A-572 150x100x4mm.;m   
2122;20590                                             ;PERFIL TUBULAR AC.A-572 150x100x6mm.;m   
2125;22265                                             ;PERFIL TUBULAR AC.A-572 200x100x6mm.;m   
2126;12746                                             ;PERFIL TUBULAR AC.A-572 200x70x4mm.;m   
2107;2008                                              ;PERFIL TUBULAR AC.A-572 30x30x2mm.;m   
2109;2986                                              ;PERFIL TUBULAR AC.A-572 40x40x2mm.;m   
2111;16457                                             ;PERFIL TUBULAR AC.A-572 40x40x3mm.;m   
12772;0012772                                           ;PERFIL TUBULAR AC.A-572 50x50x3mm.;m   
2113;5079                                              ;PERFIL TUBULAR AC.A-572 60x60x3.5mm.;m   
2114;12922                                             ;PERFIL TUBULAR AC.A-572 60x60x3mm.;m   
11983;0011983                                           ;PERFIL TUBULAR AC.A-572 80x40x2.5mm.;m   
2132;17253                                             ;PERFIL TUBULAR AC.A-572 80x40x3mm.;m   
4490;1582                                              ;PERFIL TUBULAR AC.A-572 90x50x3.5mm.;m   
9600;0009600                                           ;PERFIL TUBULAR AC.A-572 90x50x3mm;m   
3674;12580                                             ;PERFIL TUBULAR AC.A-572 90x90x3.5mm.;m   
2116;2124                                              ;PERFIL TUBULAR AC.A-572 90x90x3mm.;m   
10959;0010959                                           ;PERFIL TUBULAR AC.STRENX-700 100x100x3mm;m   
8798;0505017 ADAICO                                    ;PILAR FIJO CTF-10 2600/85 0505017 ADAICO;UND 
13483;0013483                                           ;PILOTO SEÑALIZAC.22MM AMARILLO 24V ;UND 
9432;0009432                                           ;PILOTO SEÑALIZAC.22MM ROJO 24V PEV0001;UND 
13035;0013035                                           ;"PIN 1/16""x3/4"" GALV.";UND 
2146;1262                                              ;"PIN 1/4""x2"" GALV.";UND 
2147;2762                                              ;"PIN 1/8""x1"" GALV.";UND 
2148;85                                                ;"PIN 1/8""x1_1/2"" GALV.";UND 
2149;778                                               ;"PIN 1/8""x2"" GALV.";UND 
2152;21065                                             ;"PIN 3/16""x1_1/2"" GALV.";UND 
2153;86                                                ;"PIN 3/16""x2_1/2"" GALV.";UND 
9329;0009329                                           ;"PIN 3/16""x3"" GALV.";UND 
2156;24373                                             ;"PIN 5/16""x 5"" GALV.";UND 
2157;24472                                             ;"PIN 5/16""x1_1/2"" GALV.";UND 
7587;1105-3629-INNER                                   ;PIN ENSAMBLE 1105-3629-INNER BUFFERS;UND 
2032;730                                               ;"PIN R 5/32""Øx130mm.LONG-PASADOR RESORTAD";UND 
